v1,message
smishing,YOUR EMPLOYMENT STATUS IS UNDER REVIEW DUE TO CASE CASE-731262. TERMINATION PROCEEDINGS BEGIN BY TOMORROW 9AM UNLESS YOU RESPOND: TINYURL.COM/SECURELINK3
smishing,"Debt Recovery Notice: $1,000.00 owed, case CASE-201414. A summons will be filed with Municipal Court immediately unless resolved. Contact (966) 961-4865 now."
smishing,"Patricia, this is your last warning before District Court proceedings begin over unpaid debt of $1,247.50. Settle within 30 minutes to avoid wage garnishment: tinyurl.com/SecureLink3"
smishing,FINAL NOTICE: YOUR ACCOUNT WITH CITIBANK SHOWS AN OUTSTANDING BALANCE OF $589.99. LEGAL ACTION WILL BEGIN WITHIN 3 HOURS. CASE REF CASE-733052. CALL (523) 901-5932.
smishing,URGENT from Treasury Dept: An arrest warrant has been issued under case number CASE-356787 due to tax fraud of $92!50! Resolve within 3 hours to avoid prosecution: tinyurl!com/a8Xk2p
smishing,THIS IS A LEGAL NOTICE FROM FEDERAL MARSHAL'S OFFICE. CASE CASE-329258 AGAINST YOU PROCEEDS TO COURT WITHIN 24 HOURS UNLESS YOU RESPOND. REFERENCE: TINYURL.COM/CLAIMHERE7
smishing,"This is not a joke. We have private footage of you. $2,100.00 required before end of business today to prevent release to your friends and family: urlz.fr/ClaimHere7"
smishing,"FINAL NOTICE: Your account with Citibank shows an outstanding balance of $1,000.00. Legal action will begin within 30 minutes. Case ref CASE-872246. Call (542) 444-9841."
smishing,YOUR SSN HAS BEEN SUSPENDED DUE TO SUSPICIOUS TAX ACTIVITY LINKED TO CASE CASE-456778. VERIFY IDENTITY BEFORE END OF BUSINESS TODAY OR FACE LEGAL CONSEQUENCES: BIT.LY/VERIFY-NOW22
smishing,Your SSN has been suspended due to suspicious tax activity linked to case CASE-850800. Verify identity by 5PM today or face legal consequences: urlz.fr/ClaimHere7
smishing,"Your loan is severely delinquent ($1,000.00). your bank legal dept will pursue court action immediately. Reply to avoid credit seizure: urlz.fr/CaseUpdt9"
smishing,"URGENT from Treasury Dept: An arrest warrant has been issued under case number CASE-733052 due to tax fraud of $1,000.00. Resolve within 3 hours to avoid prosecution: tinyurl.com/CaseUpdt9"
smishing,Your loan is severely delinquent ($746.32). Chase legal dept will pursue court action immediately. Reply to avoid credit seizure: shorturl.at/PayNow-x1
smishing,"Michael, your tax record (case CASE-246316) indicates a discrepancy of $1,000.00. This is your final notice before legal action is taken within 24 hours."
smishing,FINAL NOTICE: Your account with Citibank shows an outstanding balance of $92!50! Legal action will begin before end of business today! Case ref CASE-201414! Call (935) 426-4838!
smishing,"Your account with your electric company is past due ($5,600.00). Service termination within 30 minutes. Prevent shutoff by calling (223) 730-9384."
smishing,"NOTICE OF INTENT TO SUE: $589.99 past due, case CASE-127824. Respond within 24 hours or a judgment will be filed against you at Municipal Court."
smishing,"FINAL NOTICE: Your account with Chase shows an outstanding balance of $5,600.00. Legal action will begin within 30 minutes. Case ref CASE-895667. Call (404) 389-6759."
smishing,YOUR DEVICE WAS HACKED AND WE RECORDED YOU. SEND $589.99 WITHIN 30 MINUTES OR THE FOOTAGE GOES TO EVERYONE ON YOUR CONTACT LIST. DETAILS: BIT.LY/VERIFY-NOW22
smishing,IRS NOTICE: Your case CASE-456778 shows unpaid taxes of $92.50. Failure to respond immediatly will result in a legal warrant for your arrest. Call (572) 725-3621 now.
smishing,"Susan, your tax record (case CASE-246316) indicates a discrepancy of $589.99. This is your final notice before legal action is taken within 24 hours."
smishing,URGENT from IRS: An arrest warrant has been issued under case number CASE-267414 due to tax fraud of $450.00. Resolve within 30 minutes to avoid prosecution: tinyurl.com/PayNow-x1
smishing,"We have compromising video from your device camera. Pay $2,100.00 in crypto immediately to urlz.fr/SecureLink3 or we send it to all your contacts."
smishing,"Your loan is severely delinquent ($3,982.00). your bank legal dept will pursue court action within 24 hours. Reply to avoid credit seizure: bit.ly/Verify-Now22"
smishing,Immigration Alert: Case CASE-671412 flagged for review. Contact (678) 963-4903 immediatly or face detainment.
smishing,"This is IRS Tax Division. You owe $1,247.50 in back taxes. Case CASE-334053 will be forwarded to law enforcement within 24 hours unless payment is confirmed. Reply YES or call (464) 427-9366."
smishing,"Jennifer, your tax record (case CASE-865179) indicates a discrepancy of $199.00. This is your final notice before legal action is taken before end of business today."
smishing,This is US Marshals. Your visa status is under review due to case CASE-106814. Failure to verify within 24 hours results in immediate deportation order.
smishing,HR NOTICE: DISCIPLINARY ACTION PENDING ON YOUR FILE (CASE CASE-377370) UNLESS YOU VERIFY EMPLOYMENT DETAILS BY 5PM TODAY: TINYURL.COM/CASEUPDT9
smishing,FBI Cyber Division: We have detained an individual using your SSN. Case CASE-325772 requires your statement within 2 hours. Failure to respond results in immediate arrest.
smishing,"I know your password and have access to your camera. Pay $8,320.75 by tomorrow 9AM or the recording gets shared publicly. Payment link: tinyurl.com/CaseUpdt9"
smishing,This is Treasury Dept. You owe $450.00 in back taxes. Case CASE-207175 will be forwarded to law enforcement immediatly unless payment is confirmed. Reply YES or call (751) 965-9947.
smishing,local Police Dept: We have detained an individual using your SSN. Case CASE-201414 requires your statement by 5PM today. Failure to respond results in immediate arrest.
smishing,"Your loan is severely delinquent ($1,247.50). Wells Fargo legal dept will pursue court action within 24 hours. Reply to avoid credit seizure: urlz.fr/SecureLink3"
smishing,"your gas provider ALERT: Disconnection scheduled before end of business today unless $2,100!00 is paid immediately! Avoid shutoff: bit!ly/CaseUpdt9"
smishing,HR NOTICE: Disciplinary action pending on your file (case CASE-832052) unless you verify employment details within 2 hours: shorturl.at/CaseUpdt9
smishing,your electric company ALERT: Disconnection scheduled within 3 hours unless $589.99 is paid immediately. Avoid shutoff: tinyurl.com/PayNow-x1
smishing,"ALERT: FBI Cyber Division has an active warrant CASE-832052 for your arrest regarding unpaid fines of $1,247!50! Avoid arrest by calling (385) 320-3155 within 30 minutes!"
smishing,Your vehicle was involved in an incident under investigation (case CASE-452944). Federal Marshal's Office requires you contact (763) 455-2551 by tomorrow 9AM or face legal charges.
smishing,Your employment status is under review due to case CASE-391704. Termination proceedings begin immediately unless you respond: bit.ly/Verify-Now22
smishing,local Police Dept: We have detained an individual using your SSN. Case CASE-900581 requires your statement within 30 minutes. Failure to respond results in immediate arrest.
smishing,Immigration Alert: Case CASE-325772 flagged for review. Contact (279) 719-8271 within 2 hours or face detainment.
smishing,This is Officer William #3803 from State Police. Your identity has been used in a crime linked to case CASE-207175. Call (809) 789-9269 within 24 hours or a warrant will be issued.
smishing,HR NOTICE: Disciplinary action pending on your file (case CASE-872246) unless you verify employment details within 3 hours: bit.ly/a8Xk2p
smishing,"FINAL NOTICE: YOUR ACCOUNT WITH CHASE SHOWS AN OUTSTANDING BALANCE OF $1,247.50. LEGAL ACTION WILL BEGIN BY TOMORROW 9AM. CASE REF CASE-207175. CALL (641) 243-4217."
smishing,"Debt Recovery Notice: $3,982.00 owed, case CASE-571029. A summons will be filed with Superior Court by 5PM today unless resolved. Contact (278) 484-5129 now."
smishing,HR NOTICE: Disciplinary action pending on your file (case CASE-207175) unless you verify employment details within 24 hours: urlz.fr/Verify-Now22
smishing,"URGENT: your gas provider will cut off service to your address before end of business today. Outstanding balance $3,982.00 must be settled now: bit.ly/PayNow-x1"
smishing,"FINAL NOTICE: Your account with Wells Fargo shows an outstanding balance of $1,247.50. Legal action will begin immediately. Case ref CASE-267414. Call (425) 656-6855."
smishing,"Debt Recovery Notice: $1,000.00 owed, case CASE-688508. A summons will be filed with District Court by tomorrow 9AM unless resolved. Contact (333) 641-4385 now."
smishing,"Your account with the power company is past due ($1,247.50). Service termination within 30 minutes. Prevent shutoff by calling (247) 481-7901."
smishing,This is a legal notice from US Marshals. Case CASE-688508 against you proceeds to court by tomorrow 9AM unless you respond. Reference: urlz.fr/a8Xk2p
smishing,"IRS ALERT: Suit has been filed against you in Municipal Court for tax evasion, amount $2,100.00. Contact (843) 966-3480 within 30 minutes to prevent asset seizure."
smishing,Your employment status is under review due to case CASE-809570. Termination proceedings begin by 5PM today unless you respond: urlz.fr/CaseUpdt9
smishing,US Marshals: We have detained an individual using your SSN. Case CASE-900581 requires your statement immediately. Failure to respond results in immediate arrest.
smishing,This is a legal notice from County Sheriff's Office. Case CASE-377370 against you proceeds to court within 2 hours unless you respond. Reference: bit.ly/CaseUpdt9
smishing,This is IRS. You owe $450.00 in back taxes. Case CASE-460663 will be forwarded to law enforcement by tomorrow 9AM unless payment is confirmed. Reply YES or call (308) 643-6934.
smishing,This is a legal notice from US Marshals. Case CASE-543143 against you proceeds to court within 3 hours unless you respond. Reference: urlz.fr/Verify-Now22
smishing,"JOSEPH, THIS IS YOUR LAST WARNING BEFORE DISTRICT COURT PROCEEDINGS BEGIN OVER UNPAID DEBT OF $92.50. SETTLE WITHIN 2 HOURS TO AVOID WAGE GARNISHMENT: URLZ.FR/CASEUPDT9"
smishing,ALERT: FBI Cyber Division has an active warrant CASE-377370 for your arrest regarding unpaid fines of $450.00. Avoid arrest by calling (655) 999-6950 by tomorrow 9AM.
smishing,"JENNIFER, THIS IS YOUR LAST WARNING BEFORE DISTRICT COURT PROCEEDINGS BEGIN OVER UNPAID DEBT OF $1,000!00! SETTLE BY TOMORROW 9AM TO AVOID WAGE GARNISHMENT: TINYURL!COM/CASEUPDT9"
smishing,Court order CASE-876646 authorizes seizure of your property by tomorrow 9AM. Contact (214) 884-2060 to halt this action.
smishing,This is US Marshals. Your visa status is under review due to case CASE-900581. Failure to verify immediatly results in immediate deportation order.
smishing,IRS NOTICE: Your case CASE-198246 shows unpaid taxes of $450.00. Failure to respond immediately will result in a legal warrant for your arrest. Call (454) 363-6364 now.
smishing,"This is IRS Tax Division. You owe $3,982.00 in back taxes. Case CASE-216739 will be forwarded to law enforcement within 3 hours unless payment is confirmed. Reply YES or call (514) 445-1949."
smishing,This is a legal notice from County Sheriff's Office. Case CASE-456778 against you proceeds to court within 24 hours unless you respond. Reference: tinyurl.com/PayNow-x1
smishing,"Your device was hacked and we recorded you. Send $12,450.00 by tomorrow 9AM or the footage goes to everyone on your contact list. Details: tinyurl.com/ClaimHere7"
smishing,"Your device was hacked and we recorded you! Send $1,000!00 within 24 hours or the footage goes to everyone on your contact list! Details: shorturl!at/Verify-Now22"
smishing,"Joseph, this is your last warning before Municipal Court proceedings begin over unpaid debt of $199.00. Settle within 24 hours to avoid wage garnishment: shorturl.at/Verify-Now22"
smishing,"your water utility ALERT: Disconnection scheduled within 30 minutes unless $2,100.00 is paid immediately. Avoid shutoff: tinyurl.com/Verify-Now22"
smishing,Your vehicle was involved in an incident under investigation (case CASE-948749). FBI Cyber Division requires you contact (655) 338-9835 by 5PM today or face legal charges.
smishing,"Your loan is severely delinquent ($1,000.00). Wells Fargo legal dept will pursue court action by tomorrow 9AM. Reply to avoid credit seizure: bit.ly/Verify-Now22"
smishing,"Your device was hacked and we recorded you. Send $2,100.00 within 30 minutes or the footage goes to everyone on your contact list. Details: bit.ly/SecureLink3"
smishing,"We have compromising video from your device camera. Pay $2,100.00 in crypto by 5PM today to shorturl.at/a8Xk2p or we send it to all your contacts."
smishing,NOTICE: Your bank account will be frozen within 30 minutes due to case CASE-263032. Verify identity now: urlz.fr/Verify-Now22
smishing,NOTICE: Your bank account will be frozen by 5PM today due to case CASE-717889. Verify identity now: shorturl.at/a8Xk2p
smishing,"Debt Recovery Notice: $1,247.50 owed, case CASE-127824. A summons will be filed with Superior Court before end of business today unless resolved. Contact (629) 851-6832 now."
smishing,FINAL NOTICE from your water utility: Your service will be disconnected by tomorrow 9AM due to unpaid balance of $450.00. Pay now: urlz.fr/CaseUpdt9
smishing,Your loan is severely delinquent ($746.32). your credit union legal dept will pursue court action by 5PM today. Reply to avoid credit seizure: tinyurl.com/SecureLink3
smishing,your gas provider ALERT: Disconnection scheduled before end of business today unless $199.00 is paid immediatly. Avoid shutoff: bit.ly/Verify-Now22
smishing,"NOTICE OF INTENT TO SUE: $8,320.75 past due, case CASE-263032. Respond within 3 hours or a judgment will be filed against you at Municipal Court."
smishing,"Richard, your tax record (case CASE-476417) indicates a discrepancy of $3,982.00. This is your final notice before legal action is taken immediately."
smishing,"We have compromising video from your device camera. Pay $1,000.00 in crypto immediately to urlz.fr/SecureLink3 or we send it to all your contacts."
smishing,USCIS NOTICE: Discrepancy found in your immigration file (case CASE-377370). Deportation proceedings begin by tomorrow 9AM unless you respond: tinyurl.com/CaseUpdt9
smishing,This is local Police Dept. Your visa status is under review due to case CASE-946335. Failure to verify immediately results in immediate deportation order.
smishing,"URGENT: your gas provider will cut off service to your address within 30 minutes. Outstanding balance $12,450.00 must be settled now: shorturl.at/PayNow-x1"
smishing,"This is IRS Tax Division. You owe $1,000.00 in back taxes. Case CASE-733052 will be forwarded to law enforcement within 2 hours unless payment is confirmed. Reply YES or call (494) 814-6119."
smishing,"Debt Recovery Notice: $12,450.00 owed, case CASE-832052. A summons will be filed with Superior Court by tomorrow 9AM unless resolved. Contact (277) 748-4507 now."
smishing,"URGENT from Treasury Dept: An arrest warrant has been issued under case number CASE-198246 due to tax fraud of $2,100!00! Resolve within 24 hours to avoid prosecution: tinyurl!com/Verify-Now22"
smishing,"We have compromising video from your device camera. Pay $8,320.75 in crypto within 2 hours to urlz.fr/Verify-Now22 or we send it to all your contacts."
smishing,Treasury Dept NOTICE: Your case CASE-571029 shows unpaid taxes of $589!99! Failure to respond within 24 hours will result in a legal warrant for your arrest! Call (840) 505-9317 now!
smishing,HR NOTICE: Disciplinary action pending on your file (case CASE-207473) unless you verify employment details within 24 hours: urlz.fr/ClaimHere7
smishing,"This is not a joke. We have private footage of you. $8,320.75 required immediately to prevent release to your friends and family: tinyurl.com/SecureLink3"
smishing,"URGENT from Treasury Dept: An arrest warrant has been issued under case number CASE-126225 due to tax fraud of $1,247!50! Resolve before end of business today to avoid prosecution: bit!ly/a8Xk2p"
smishing,"THIS IS NOT A JOKE! WE HAVE PRIVATE FOOTAGE OF YOU! $12,450!00 REQUIRED WITHIN 30 MINUTES TO PREVENT RELEASE TO YOUR FRIENDS AND FAMILY: SHORTURL!AT/VERIFY-NOW22"
smishing,Your device was hacked and we recorded you. Send $746.32 before end of business today or the footage goes to everyone on your contact list. Details: bit.ly/SecureLink3
smishing,We have compromising video from your device camera! Pay $746!32 in crypto immediatly to shorturl!at/a8Xk2p or we send it to all your contacts!
smishing,"ROBERT, YOUR TAX RECORD (CASE CASE-356787) INDICATES A DISCREPANCY OF $92!50! THIS IS YOUR FINAL NOTICE BEFORE LEGAL ACTION IS TAKEN BY 5PM TODAY!"
smishing,HR NOTICE: Disciplinary action pending on your file (case CASE-197251) unless you verify employment details by 5PM today: bit.ly/Verify-Now22
smishing,"your electric company ALERT: Disconnection scheduled by 5PM today unless $12,450.00 is paid immediately. Avoid shutoff: urlz.fr/ClaimHere7"
smishing,"URGENT from Internal Revenue Service: An arrest warrant has been issued under case number CASE-456778 due to tax fraud of $8,320.75. Resolve by 5PM today to avoid prosecution: tinyurl.com/ClaimHere7"
smishing,"Debt Recovery Notice: $92.50 owed, case CASE-671858. A summons will be filed with Municipal Court within 3 hours unless resolved. Contact (624) 611-5116 now."
smishing,Federal Marshal's Office: We have detained an individual using your SSN. Case CASE-207473 requires your statement before end of business today. Failure to respond results in immediate arrest.
smishing,US Marshals: We have detained an individual using your SSN. Case CASE-832052 requires your statement within 3 hours. Failure to respond results in immediate arrest.
smishing,ALERT: County Sheriff's Office has an active warrant CASE-872246 for your arrest regarding unpaid fines of $589.99. Avoid arrest by calling (405) 550-7704 by tomorrow 9AM.
smishing,"ALERT: Federal Marshal's Office has an active warrant CASE-498382 for your arrest regarding unpaid fines of $1,247.50. Avoid arrest by calling (775) 381-8460 within 3 hours."
smishing,Court order CASE-835392 authorizes seizure of your property within 24 hours. Contact (786) 759-5271 to halt this action.
smishing,"YOUR LOAN IS SEVERELY DELINQUENT ($2,100.00). YOUR CREDIT UNION LEGAL DEPT WILL PURSUE COURT ACTION WITHIN 24 HOURS. REPLY TO AVOID CREDIT SEIZURE: SHORTURL.AT/A8XK2P"
smishing,"ALERT: State Police has an active warrant CASE-900581 for your arrest regarding unpaid fines of $1,000.00. Avoid arrest by calling (397) 221-7189 within 3 hours."
smishing,"IRS ALERT: Suit has been filed against you in District Court for tax evasion, amount $5,600.00. Contact (660) 785-4084 within 2 hours to prevent asset seizure."
smishing,"URGENT: the power company will cut off service to your address before end of business today. Outstanding balance $1,247.50 must be settled now: shorturl.at/Verify-Now22"
smishing,"NOTICE OF INTENT TO SUE: $92.50 PAST DUE, CASE CASE-343962. RESPOND IMMEDIATELY OR A JUDGMENT WILL BE FILED AGAINST YOU AT DISTRICT COURT."
smishing,"your water utility ALERT: Disconnection scheduled within 2 hours unless $1,000.00 is paid immediatly. Avoid shutoff: urlz.fr/CaseUpdt9"
smishing,This is local Police Dept. Your visa status is under review due to case CASE-832052. Failure to verify within 30 minutes results in immediate deportation order.
smishing,This is not a joke. We have private footage of you. $589.99 required by tomorrow 9AM to prevent release to your friends and family: bit.ly/PayNow-x1
smishing,This is IRS. You owe $746.32 in back taxes. Case CASE-900581 will be forwarded to law enforcement before end of business today unless payment is confirmed. Reply YES or call (882) 618-6344.
smishing,This is US Marshals! Your visa status is under review due to case CASE-207175! Failure to verify by 5PM today results in immediate deportation order!
smishing,"Your device was hacked and we recorded you. Send $1,000.00 within 2 hours or the footage goes to everyone on your contact list. Details: shorturl.at/SecureLink3"
smishing,"the power company ALERT: Disconnection scheduled by 5PM today unless $3,982.00 is paid immediately. Avoid shutoff: bit.ly/CaseUpdt9"
smishing,This is not a joke. We have private footage of you. $92.50 required within 30 minutes to prevent release to your friends and family: urlz.fr/CaseUpdt9
smishing,"I know your password and have access to your camera. Pay $8,320.75 immediately or the recording gets shared publicly. Payment link: urlz.fr/PayNow-x1"
smishing,ALERT: Federal Marshal's Office has an active warrant CASE-198246 for your arrest regarding unpaid fines of $92.50. Avoid arrest by calling (674) 320-8709 within 2 hours.
smishing,This is Officer Robert #3677 from State Police. Your identity has been used in a crime linked to case CASE-246316. Call (760) 458-8772 by 5PM today or a warrant will be issued.
smishing,"your water utility ALERT: Disconnection scheduled within 30 minutes unless $3,982.00 is paid immediately. Avoid shutoff: shorturl.at/PayNow-x1"
smishing,ALERT: State Police has an active warrant CASE-944962 for your arrest regarding unpaid fines of $450.00. Avoid arrest by calling (909) 980-5067 before end of business today.
smishing,"FINAL NOTICE from your electric company: Your service will be disconnected within 30 minutes due to unpaid balance of $12,450.00. Pay now: urlz.fr/a8Xk2p"
smishing,IRS NOTICE: Your case CASE-781453 shows unpaid taxes of $589!99! Failure to respond before end of business today will result in a legal warrant for your arrest! Call (944) 574-7606 now!
smishing,This is Officer Elizabeth #2291 from FBI Cyber Division. Your identity has been used in a crime linked to case CASE-865179. Call (714) 308-5748 before end of business today or a warrant will be issued.
smishing,We have compromising video from your device camera. Pay $92.50 in crypto within 2 hours to shorturl.at/Verify-Now22 or we send it to all your contacts.
